INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('1', '10000', '2024-01-27 09:00:00', '2024-02-10 08:59:59', '50', '23.45', '860', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('5', '10000', '2023-01-20 09:00:00', '2023-02-03 08:59:59', '50', '8.24', '6091', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('5', '10000', '2022-07-28 09:00:00', '2022-08-11 08:59:59', '50', '6.19', '6091', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('5', '10000', '2024-02-15 09:00:00', '2024-02-29 08:59:59', '50', '7.06', '6091', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('6', '10000', '2023-12-29 09:00:00', '2024-01-12 08:59:59', '50', '5.38', '7682', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('6', '10000', '2023-08-14 09:00:00', '2023-08-28 08:59:59', '50', '17.77', '7682', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('6', '10000', '2022-12-14 09:00:00', '2022-12-28 08:59:59', '50', '24.28', '7682', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('7', '10000', '2022-12-18 09:00:00', '2023-01-01 08:59:59', '50', '0.3', '6424', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('8', '10000', '2024-07-15 09:00:00', '2024-07-29 08:59:59', '50', '1.3', '9707', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('8', '10000', '2023-01-08 09:00:00', '2023-01-22 08:59:59', '50', '24.56', '9707', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('9', '10000', '2024-05-09 09:00:00', '2024-05-23 08:59:59', '50', '12.35', '8826', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('9', '10000', '2023-08-22 09:00:00', '2023-09-05 08:59:59', '50', '14.49', '8826', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('9', '10000', '2023-05-04 09:00:00', '2023-05-18 08:59:59', '50', '24.92', '8826', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('10', '10000', '2025-03-22 09:00:00', '2025-04-05 08:59:59', '50', '20.0', '4317', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('10', '10000', '2024-04-06 09:00:00', '2024-04-20 08:59:59', '50', '0.96', '4317', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('10', '10000', '2022-07-31 09:00:00', '2022-08-14 08:59:59', '50', '19.5', '4317', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('10', '10000', '2022-09-23 09:00:00', '2022-10-07 08:59:59', '50', '2.01', '4317', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('11', '10000', '2024-05-09 09:00:00', '2024-05-23 08:59:59', '50', '10.71', '995', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('11', '10000', '2022-05-18 09:00:00', '2022-06-01 08:59:59', '50', '8.93', '995', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('12', '10000', '2024-08-04 09:00:00', '2024-08-18 08:59:59', '50', '21.21', '6519', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('12', '10000', '2023-08-03 09:00:00', '2023-08-17 08:59:59', '50', '14.84', '6519', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('12', '10000', '2024-03-25 09:00:00', '2024-04-08 08:59:59', '50', '5.75', '6519', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('13', '10000', '2024-05-10 09:00:00', '2024-05-24 08:59:59', '50', '8.15', '8429', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('13', '10000', '2023-12-29 09:00:00', '2024-01-12 08:59:59', '50', '25.54', '8429', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('13', '10000', '2023-09-02 09:00:00', '2023-09-16 08:59:59', '50', '15.62', '8429', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('14', '10000', '2024-05-13 09:00:00', '2024-05-27 08:59:59', '50', '3.69', '2536', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('14', '10000', '2022-10-10 09:00:00', '2022-10-24 08:59:59', '50', '14.09', '2536', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('14', '10000', '2023-03-31 09:00:00', '2023-04-14 08:59:59', '50', '2.09', '2536', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('15', '10000', '2024-06-23 09:00:00', '2024-07-07 08:59:59', '50', '4.51', '9642', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('15', '10000', '2023-03-23 09:00:00', '2023-04-06 08:59:59', '50', '28.66', '9642', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('15', '10000', '2023-05-19 09:00:00', '2023-06-02 08:59:59', '50', '24.37', '9642', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('16', '10000', '2024-12-27 09:00:00', '2025-01-10 08:59:59', '50', '11.1', '4759', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('16', '10000', '2022-08-23 09:00:00', '2022-09-06 08:59:59', '50', '6.55', '4759', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('16', '10000', '2022-06-04 09:00:00', '2022-06-18 08:59:59', '50', '12.24', '4759', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('16', '10000', '2022-12-08 09:00:00', '2022-12-22 08:59:59', '50', '23.33', '4759', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('17', '10000', '2024-05-09 09:00:00', '2024-05-23 08:59:59', '50', '4.47', '9078', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('17', '10000', '2024-03-10 09:00:00', '2024-03-24 08:59:59', '50', '8.62', '9078', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('18', '10000', '2024-08-30 09:00:00', '2024-09-13 08:59:59', '50', '6.68', '8872', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('18', '10000', '2024-02-04 09:00:00', '2024-02-18 08:59:59', '50', '17.46', '8872', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('19', '10000', '2024-08-14 09:00:00', '2024-08-28 08:59:59', '50', '18.33', '8160', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('19', '10000', '2023-02-21 09:00:00', '2023-03-07 08:59:59', '50', '8.53', '8160', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('20', '10000', '2024-05-08 09:00:00', '2024-05-22 08:59:59', '50', '1.17', '1447', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('20', '10000', '2023-03-10 09:00:00', '2023-03-24 08:59:59', '50', '27.35', '1447', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('20', '10000', '2023-09-15 09:00:00', '2023-09-29 08:59:59', '50', '14.4', '1447', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('20', '10000', '2022-07-04 09:00:00', '2022-07-18 08:59:59', '50', '23.04', '1447', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('21', '10000', '2024-12-27 09:00:00', '2025-01-10 08:59:59', '50', '15.08', '1992', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('21', '10000', '2024-01-10 09:00:00', '2024-01-24 08:59:59', '50', '0.74', '1992', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('22', '10000', '2024-11-20 09:00:00', '2024-12-04 08:59:59', '50', '3.81', '2421', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('22', '10000', '2023-03-14 09:00:00', '2023-03-28 08:59:59', '50', '4.31', '2421', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('22', '10000', '2022-09-21 09:00:00', '2022-10-05 08:59:59', '50', '17.15', '2421', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('23', '10000', '2025-01-05 09:00:00', '2025-01-19 08:59:59', '50', '1.07', '9148', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('23', '10000', '2022-07-30 09:00:00', '2022-08-13 08:59:59', '50', '6.52', '9148', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('24', '10000', '2024-05-07 09:00:00', '2024-05-21 08:59:59', '50', '26.35', '7479', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('24', '10000', '2023-12-03 09:00:00', '2023-12-17 08:59:59', '50', '4.51', '7479', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('24', '10000', '2023-04-08 09:00:00', '2023-04-22 08:59:59', '50', '0.76', '7479', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('25', '10000', '2024-11-25 09:00:00', '2024-12-09 08:59:59', '50', '6.63', '3706', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('25', '10000', '2023-04-24 09:00:00', '2023-05-08 08:59:59', '50', '24.68', '3706', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('25', '10000', '2022-06-22 09:00:00', '2022-07-06 08:59:59', '50', '29.65', '3706', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('26', '10000', '2022-08-04 09:00:00', '2022-08-18 08:59:59', '50', '4.74', '3407', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('27', '10000', '2024-05-09 09:00:00', '2024-05-23 08:59:59', '50', '16.07', '3560', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('27', '10000', '2023-05-18 09:00:00', '2023-06-01 08:59:59', '50', '11.55', '3560', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('27', '10000', '2022-08-24 09:00:00', '2022-09-07 08:59:59', '50', '27.1', '3560', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('27', '10000', '2023-08-31 09:00:00', '2023-09-14 08:59:59', '50', '12.84', '3560', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('28', '10000', '2024-05-14 09:00:00', '2024-05-28 08:59:59', '50', '22.42', '1580', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('28', '10000', '2022-08-05 09:00:00', '2022-08-19 08:59:59', '50', '22.48', '1580', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('28', '10000', '2023-04-14 09:00:00', '2023-04-28 08:59:59', '50', '25.44', '1580', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('29', '10000', '2024-12-03 09:00:00', '2024-12-17 08:59:59', '50', '11.49', '1474', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('29', '10000', '2023-01-30 09:00:00', '2023-02-13 08:59:59', '50', '5.48', '1474', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('29', '10000', '2024-01-03 09:00:00', '2024-01-17 08:59:59', '50', '15.04', '1474', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('30', '10000', '2024-05-11 09:00:00', '2024-05-25 08:59:59', '50', '16.05', '1860', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('30', '10000', '2022-12-19 09:00:00', '2023-01-02 08:59:59', '50', '0.74', '1860', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('30', '10000', '2023-04-08 09:00:00', '2023-04-22 08:59:59', '50', '15.8', '1860', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('31', '10000', '2024-05-13 09:00:00', '2024-05-27 08:59:59', '50', '28.3', '2612', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('31', '10000', '2023-09-27 09:00:00', '2023-10-11 08:59:59', '50', '19.68', '2612', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('31', '10000', '2024-03-03 09:00:00', '2024-03-17 08:59:59', '50', '6.64', '2612', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('31', '10000', '2023-12-17 09:00:00', '2023-12-31 08:59:59', '50', '17.29', '2612', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('32', '10000', '2024-04-10 09:00:00', '2024-04-24 08:59:59', '50', '6.68', '9434', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('32', '10000', '2023-06-11 09:00:00', '2023-06-25 08:59:59', '50', '21.57', '9434', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('33', '10000', '2024-10-17 09:00:00', '2024-10-31 08:59:59', '50', '21.69', '6087', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('33', '10000', '2022-10-30 09:00:00', '2022-11-13 08:59:59', '50', '19.39', '6087', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('34', '10000', '2024-02-03 09:00:00', '2024-02-17 08:59:59', '50', '9.71', '9608', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('35', '10000', '2024-05-19 09:00:00', '2024-06-02 08:59:59', '50', '29.71', '9915', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('35', '10000', '2022-07-26 09:00:00', '2022-08-09 08:59:59', '50', '11.68', '9915', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('36', '10000', '2025-05-10 09:00:00', '2025-05-24 08:59:59', '50', '2.26', '4773', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('36', '10000', '2023-10-01 09:00:00', '2023-10-15 08:59:59', '50', '0.6', '4773', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('36', '10000', '2023-05-28 09:00:00', '2023-06-11 08:59:59', '50', '22.62', '4773', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('36', '10000', '2023-04-24 09:00:00', '2023-05-08 08:59:59', '50', '16.3', '4773', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('37', '10000', '2025-01-20 09:00:00', '2025-02-03 08:59:59', '50', '3.95', '685', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('37', '10000', '2022-11-16 09:00:00', '2022-11-30 08:59:59', '50', '26.17', '685', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('38', '10000', '2023-04-02 09:00:00', '2023-04-16 08:59:59', '50', '24.03', '1248', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('38', '10000', '2024-01-25 09:00:00', '2024-02-08 08:59:59', '50', '22.89', '1248', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('39', '10000', '2024-05-08 09:00:00', '2024-05-22 08:59:59', '50', '6.63', '3907', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('39', '10000', '2023-06-04 09:00:00', '2023-06-18 08:59:59', '50', '1.47', '3907', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('39', '10000', '2022-11-11 09:00:00', '2022-11-25 08:59:59', '50', '25.49', '3907', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('40', '10000', '2023-10-02 09:00:00', '2023-10-16 08:59:59', '50', '22.31', '9126', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('40', '10000', '2023-09-04 09:00:00', '2023-09-18 08:59:59', '50', '20.36', '9126', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('41', '10000', '2024-06-13 09:00:00', '2024-06-27 08:59:59', '50', '8.91', '5710', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('41', '10000', '2023-03-21 09:00:00', '2023-04-04 08:59:59', '50', '4.03', '5710', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('41', '10000', '2023-11-21 09:00:00', '2023-12-05 08:59:59', '50', '10.97', '5710', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('42', '10000', '2024-07-22 09:00:00', '2024-08-05 08:59:59', '50', '25.8', '1009', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('42', '10000', '2023-04-03 09:00:00', '2023-04-17 08:59:59', '50', '27.63', '1009', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('42', '10000', '2024-01-02 09:00:00', '2024-01-16 08:59:59', '50', '16.43', '1009', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('43', '10000', '2023-11-22 09:00:00', '2023-12-06 08:59:59', '50', '0.42', '4995', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('44', '10000', '2024-05-11 09:00:00', '2024-05-25 08:59:59', '50', '13.21', '2733', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('44', '10000', '2023-03-18 09:00:00', '2023-04-01 08:59:59', '50', '22.4', '2733', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('44', '10000', '2022-06-15 09:00:00', '2022-06-29 08:59:59', '50', '11.03', '2733', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('44', '10000', '2023-04-25 09:00:00', '2023-05-09 08:59:59', '50', '18.19', '2733', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('45', '10000', '2025-01-18 09:00:00', '2025-02-01 08:59:59', '50', '29.74', '3934', '10');
INSERT INTO subscription_tb (farm_code, confirm_price, started_time, ended_time, limit_num, return_rate, total_token_count, partner_farm_rate) VALUES ('45', '10000', '2023-04-10 09:00:00', '2023-04-24 08:59:59', '50', '1.05', '3934', '10');
